query mid=9451,threshold=0.170000
in func similar
cmp with mail 0,A=125,B=121
ptrA:0,ptrB:0,intersect:0
ptrA:0,ptrB:1,intersect:0
ptrA:0,ptrB:2,intersect:0
ptrA:0,ptrB:3,intersect:0
ptrA:0,ptrB:4,intersect:0
ptrA:0,ptrB:5,intersect:0
ptrA:1,ptrB:5,intersect:0
ptrA:2,ptrB:5,intersect:0
ptrA:3,ptrB:5,intersect:0
ptrA:4,ptrB:5,intersect:0
ptrA:5,ptrB:5,intersect:0
ptrA:6,ptrB:5,intersect:0
ptrA:7,ptrB:5,intersect:0
ptrA:8,ptrB:5,intersect:0
ptrA:9,ptrB:5,intersect:0
ptrA:10,ptrB:5,intersect:0
ptrA:11,ptrB:5,intersect:0
ptrA:12,ptrB:5,intersect:0
ptrA:12,ptrB:6,intersect:0
ptrA:12,ptrB:7,intersect:0
ptrA:12,ptrB:8,intersect:0
ptrA:13,ptrB:8,intersect:0
ptrA:14,ptrB:8,intersect:0
ptrA:14,ptrB:9,intersect:0
ptrA:14,ptrB:10,intersect:0
ptrA:14,ptrB:11,intersect:0
ptrA:14,ptrB:12,intersect:0
ptrA:14,ptrB:13,intersect:0
ptrA:14,ptrB:14,intersect:0
ptrA:14,ptrB:15,intersect:0
ptrA:15,ptrB:15,intersect:0
ptrA:15,ptrB:16,intersect:0
ptrA:15,ptrB:17,intersect:0
ptrA:15,ptrB:18,intersect:0
ptrA:16,ptrB:18,intersect:0
ptrA:16,ptrB:19,intersect:0
ptrA:16,ptrB:20,intersect:0
ptrA:17,ptrB:20,intersect:0
ptrA:17,ptrB:21,intersect:0
ptrA:18,ptrB:21,intersect:0
ptrA:18,ptrB:22,intersect:0
ptrA:19,ptrB:22,intersect:0
ptrA:19,ptrB:23,intersect:0
ptrA:19,ptrB:24,intersect:0
ptrA:20,ptrB:24,intersect:0
ptrA:20,ptrB:25,intersect:0
ptrA:20,ptrB:26,intersect:0
ptrA:21,ptrB:26,intersect:0
ptrA:21,ptrB:27,intersect:0
ptrA:21,ptrB:28,intersect:0
ptrA:21,ptrB:29,intersect:0
ptrA:21,ptrB:30,intersect:0
ptrA:22,ptrB:30,intersect:0
ptrA:22,ptrB:31,intersect:0
ptrA:22,ptrB:32,intersect:0
ptrA:22,ptrB:33,intersect:0
ptrA:22,ptrB:34,intersect:0
ptrA:22,ptrB:35,intersect:0
ptrA:22,ptrB:36,intersect:0
ptrA:22,ptrB:37,intersect:0
ptrA:23,ptrB:37,intersect:0
ptrA:24,ptrB:37,intersect:0
ptrA:24,ptrB:38,intersect:0
ptrA:25,ptrB:38,intersect:0
ptrA:26,ptrB:38,intersect:0
ptrA:27,ptrB:38,intersect:0
ptrA:27,ptrB:39,intersect:0
ptrA:27,ptrB:40,intersect:0
ptrA:27,ptrB:41,intersect:0
ptrA:27,ptrB:42,intersect:0
ptrA:28,ptrB:42,intersect:0
ptrA:29,ptrB:42,intersect:0
ptrA:30,ptrB:42,intersect:0
ptrA:31,ptrB:42,intersect:0
ptrA:31,ptrB:43,intersect:0
ptrA:32,ptrB:43,intersect:0
ptrA:32,ptrB:44,intersect:0
ptrA:32,ptrB:45,intersect:0
ptrA:32,ptrB:46,intersect:0
ptrA:33,ptrB:46,intersect:0
ptrA:34,ptrB:46,intersect:0
ptrA:35,ptrB:46,intersect:0
ptrA:36,ptrB:46,intersect:0
ptrA:37,ptrB:46,intersect:0
ptrA:38,ptrB:46,intersect:0
ptrA:38,ptrB:47,intersect:0
ptrA:39,ptrB:47,intersect:0
ptrA:40,ptrB:47,intersect:0
ptrA:40,ptrB:48,intersect:0
ptrA:41,ptrB:48,intersect:0
ptrA:42,ptrB:48,intersect:0
ptrA:42,ptrB:49,intersect:0
ptrA:43,ptrB:49,intersect:0
ptrA:43,ptrB:50,intersect:0
ptrA:43,ptrB:51,intersect:0
ptrA:43,ptrB:52,intersect:0
ptrA:43,ptrB:53,intersect:0
ptrA:44,ptrB:53,intersect:0
ptrA:44,ptrB:54,intersect:0
ptrA:44,ptrB:55,intersect:0
ptrA:44,ptrB:56,intersect:0
ptrA:45,ptrB:56,intersect:0
ptrA:46,ptrB:56,intersect:0
ptrA:47,ptrB:56,intersect:0
ptrA:48,ptrB:56,intersect:0
ptrA:49,ptrB:56,intersect:0
ptrA:50,ptrB:56,intersect:0
ptrA:51,ptrB:56,intersect:0
ptrA:52,ptrB:56,intersect:0
ptrA:53,ptrB:56,intersect:0
ptrA:54,ptrB:56,intersect:0
ptrA:54,ptrB:57,intersect:0
